Gene	# Structural Variant	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
FIS1	1	1	479	0.2%	No
CARMIL1	1	1	479	0.2%	No
CDT1	1	1	479	0.2%	No
RABGAP1L	1	1	479	0.2%	No
STAC	1	1	479	0.2%	No
PYHIN1	1	1	479	0.2%	No
PDE2A	2	2	479	0.4%	No
SNHG6	1	1	479	0.2%	No
NMI	1	1	479	0.2%	No
SNHG4	1	1	479	0.2%	No
MARCO	1	1	479	0.2%	No
OCLN	1	1	479	0.2%	No
TMCC3	1	1	479	0.2%	No
ATM	2	2	479	0.4%	Yes
CORO7	3	2	479	0.4%	No
CC2D1A	1	1	479	0.2%	No
ATR	2	2	479	0.4%	Yes
HBS1L	1	1	479	0.2%	No
FAF1	2	2	479	0.4%	Yes
GDI2	1	1	479	0.2%	No
BICDL2	1	1	479	0.2%	No
GYS2	1	1	479	0.2%	No
RPTOR	1	1	479	0.2%	Yes
EPB41L4B	1	1	479	0.2%	No
UCHL1	1	1	479	0.2%	Yes
AUH	1	1	479	0.2%	No
ZMYM4	1	1	479	0.2%	No
KIF13B	2	2	479	0.4%	No
ANKRD7	1	1	479	0.2%	No
CC2D2B	1	1	479	0.2%	No
MANBA	1	1	479	0.2%	No
TSC22D1	2	1	479	0.2%	No
TSC22D3	1	1	479	0.2%	No
TSC22D2	2	2	479	0.4%	No
LRRIQ1	1	1	479	0.2%	No
IL17RE	1	1	479	0.2%	No
TUBG1	1	1	479	0.2%	No
AP3B2	1	1	479	0.2%	No
NAALADL2	3	3	479	0.6%	No
RAD51B	1	1	479	0.2%	Yes
NME7	1	1	479	0.2%	No
RHOU	1	1	479	0.2%	No
ALDOB	1	1	479	0.2%	No
MAPT	1	1	479	0.2%	No
MAPRE1	2	2	479	0.4%	No
SLC20A2	1	1	479	0.2%	No
PRIM1	1	1	479	0.2%	No
CXCR5	1	1	479	0.2%	No
CXCR4	1	1	479	0.2%	Yes
AKAP7	1	1	479	0.2%	No
LYZL1	1	1	479	0.2%	No
C10ORF90	1	1	479	0.2%	No
SCEL	1	1	479	0.2%	No
CUX2	2	2	479	0.4%	No
CUX1	1	1	479	0.2%	Yes
DZANK1	1	1	479	0.2%	No
NPY	1	1	479	0.2%	No
KIAA0753	1	1	479	0.2%	No
CTNNA1	1	1	479	0.2%	Yes
TLDC2	1	1	479	0.2%	No
SHOC2	1	1	479	0.2%	Yes
CTNNA3	3	3	479	0.6%	No
MAP4K3	2	2	479	0.4%	No
MPZL1	2	2	479	0.4%	No
MAP4K4	1	1	479	0.2%	Yes
SUZ12	1	1	479	0.2%	Yes
CA10	1	1	479	0.2%	No
RANBP3	1	1	479	0.2%	No
RYK	2	2	479	0.4%	No
SCD5	3	2	479	0.4%	No
AP3D1	1	1	479	0.2%	No
TJP1	1	1	479	0.2%	No
ERG28	1	1	479	0.2%	No
AXL	1	1	479	0.2%	Yes
CR1L	1	1	479	0.2%	No
R3HCC1	1	1	479	0.2%	No
TRIP12	2	2	479	0.4%	No
B9D1	1	1	479	0.2%	No
FAU	2	1	479	0.2%	No
GALNT14	1	1	479	0.2%	No
GALNT18	1	1	479	0.2%	No
GALNT17	1	1	479	0.2%	No
HDLBP	5	3	479	0.6%	No
NUCKS1	2	2	479	0.4%	No
EFTUD2	2	2	479	0.4%	No
ARHGAP44	2	1	479	0.2%	No
TMEM145	1	1	479	0.2%	No
BASP1	2	2	479	0.4%	No
CHCHD6	1	1	479	0.2%	No
SIRPA	1	1	479	0.2%	No
MALRD1	1	1	479	0.2%	No
PDIA3	1	1	479	0.2%	No
NSF	1	1	479	0.2%	No
CADPS2	1	1	479	0.2%	No
DSCAM	1	1	479	0.2%	No
CFAP418	1	1	479	0.2%	No
AMY1C	1	1	479	0.2%	No
ANGEL1	1	1	479	0.2%	No
ARID5B	1	1	479	0.2%	Yes
TSC1	1	1	479	0.2%	Yes
PPP4R3A	1	1	479	0.2%	No
CDYL	1	1	479	0.2%	No
CFAP410	1	1	479	0.2%	No
CGRRF1	1	1	479	0.2%	No
PRSS55	1	1	479	0.2%	No
PTCHD3P2	1	1	479	0.2%	No
PDIA4	2	2	479	0.4%	No
PRSS54	1	1	479	0.2%	No
ALDH3A2	1	1	479	0.2%	No
KIF16B	1	1	479	0.2%	No
TBL1XR1	4	3	479	0.6%	Yes
PDE9A	3	2	479	0.4%	No
SUCNR1	1	1	479	0.2%	No
ARHGAP18	1	1	479	0.2%	No
COX7A2	1	1	479	0.2%	No
DTX2	1	1	479	0.2%	No
DTX4	1	1	479	0.2%	No
PLCXD2	1	1	479	0.2%	No
ARHGAP12	1	1	479	0.2%	No
ARHGAP21	1	1	479	0.2%	No
COBLL1	2	1	479	0.2%	No
CASKIN2	1	1	479	0.2%	No
EP400	1	1	479	0.2%	Yes
STAP1	1	1	479	0.2%	No
RIPK1	1	1	479	0.2%	No
ZC3H15	2	2	479	0.4%	No
MARK1	1	1	479	0.2%	No
HSPA9	2	1	479	0.2%	No
SMAD4	1	1	479	0.2%	Yes
SMURF2	1	1	479	0.2%	No
WSCD2	1	1	479	0.2%	No
EPHX1	1	1	479	0.2%	No
SMAD9	1	1	479	0.2%	No
ARHGAP29	1	1	479	0.2%	No
TDRD7	1	1	479	0.2%	No
ARHGAP28	1	1	479	0.2%	No
ARHGAP27	1	1	479	0.2%	No
DNAJC15	1	1	479	0.2%	No
AZIN1	1	1	479	0.2%	No
TDRD3	1	1	479	0.2%	No
ARHGAP24	1	1	479	0.2%	No
ARHGAP23	2	1	479	0.2%	No
ERVK3-1	1	1	479	0.2%	No
NFKBIA	1	1	479	0.2%	Yes
ARHGAP32	2	2	479	0.4%	No
TBCK	1	1	479	0.2%	No
DLG1	1	1	479	0.2%	No
DLG2	1	1	479	0.2%	No
KIF18B	1	1	479	0.2%	No
TMEM116	1	1	479	0.2%	No
DLG5	1	1	479	0.2%	No
EBPL	1	1	479	0.2%	No
CLASRP	1	1	479	0.2%	No
ABCD4	1	1	479	0.2%	No
DOCK6	1	1	479	0.2%	No
SCYL3	1	1	479	0.2%	No
DOCK5	1	1	479	0.2%	No
DOCK3	1	1	479	0.2%	No
ABCD3	1	1	479	0.2%	No
MCTP1	1	1	479	0.2%	No
USP34	1	1	479	0.2%	No
DOCK7	1	1	479	0.2%	No
CTDSPL2	1	1	479	0.2%	No
ELAVL2	1	1	479	0.2%	No
LMOD2	1	1	479	0.2%	No
SENP6	2	2	479	0.4%	No
DTWD2	2	1	479	0.2%	No
SENP7	1	1	479	0.2%	No
UPK1A	1	1	479	0.2%	No
ZC3H7A	1	1	479	0.2%	No
TMEM104	1	1	479	0.2%	No
KYNU	1	1	479	0.2%	No
PDE4B	1	1	479	0.2%	No
TMEM109	2	2	479	0.4%	No
MAN2C1	2	2	479	0.4%	No
SCYL2	1	1	479	0.2%	No
ABCC4	2	2	479	0.4%	No
USP48	1	1	479	0.2%	No
CAMK1D	1	1	479	0.2%	No
USP43	1	1	479	0.2%	No
PDE4D	3	3	479	0.6%	No
ABCC5	1	1	479	0.2%	No
USP45	1	1	479	0.2%	No
CTPS2	1	1	479	0.2%	No
CTPS1	1	1	479	0.2%	No
URB1	1	1	479	0.2%	No
ARID1A	1	1	479	0.2%	Yes
KLF15	1	1	479	0.2%	No
ARID1B	1	1	479	0.2%	Yes
MNS1	2	2	479	0.4%	No
DOCK2	1	1	479	0.2%	No
DOCK1	2	2	479	0.4%	No
ITGB3BP	3	1	479	0.2%	No
LUC7L2	2	2	479	0.4%	No
B4GALT5	1	1	479	0.2%	No
TUFT1	1	1	479	0.2%	No
USP10	1	1	479	0.2%	No
PON1	1	1	479	0.2%	No
USP12	1	1	479	0.2%	No
TM2D3	1	1	479	0.2%	No
TFPI	1	1	479	0.2%	No
TOB2	1	1	479	0.2%	No
USP18	1	1	479	0.2%	No
UACA	1	1	479	0.2%	No
NT5DC1	1	1	479	0.2%	No
GMDS	1	1	479	0.2%	No
REPS2	2	2	479	0.4%	No
PDE6C	1	1	479	0.2%	No
RGS20	1	1	479	0.2%	No
NCAM1	1	1	479	0.2%	No
NCAM2	1	1	479	0.2%	No
CAMK2G	1	1	479	0.2%	No
SASH1	1	1	479	0.2%	No
CLASP2	1	1	479	0.2%	No
SPEN	1	1	479	0.2%	Yes
USP25	1	1	479	0.2%	No
CMTM8	2	2	479	0.4%	No
STN1	1	1	479	0.2%	No
NHERF1	1	1	479	0.2%	Yes
PDE6H	1	1	479	0.2%	No
WTAP	1	1	479	0.2%	No
NEGR1	3	2	479	0.4%	Yes
CMTM4	2	2	479	0.4%	No
USP22	3	3	479	0.6%	No
SGTA	1	1	479	0.2%	No
CADPS	2	2	479	0.4%	No
USP28	3	3	479	0.6%	No
SGPP2	2	2	479	0.4%	No
GDAP2	1	1	479	0.2%	No
NAP1L4	1	1	479	0.2%	No
POMC	1	1	479	0.2%	No
GNPDA1	1	1	479	0.2%	No
SCD	1	1	479	0.2%	No
BAX	2	1	479	0.2%	Yes
RGS12	1	1	479	0.2%	No
SSBP1	1	1	479	0.2%	No
ABCE1	1	1	479	0.2%	No
HCN1	1	1	479	0.2%	No
